Entry ID,Pairs of Acession Code(s)
6ATZ,"[['P01903', 'A0A0A1I7H6'], ['A0A0A1I7H6', 'P02675'], ['P02675', 'P01903']]"
6B1U,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
6B2E,"[['P54646', 'O43741'], ['O43741', 'P54619'], ['P54619', 'P54646']]"
6B4I,"[['Q53GS7', 'O15504'], ['O15504', 'Q9UMR2'], ['Q9UMR2', 'Q53GS7']]"
6B4J,"[['Q53GS7', 'O15504'], ['O15504', 'Q9UMR2'], ['Q9UMR2', 'Q53GS7']]"
6BFT,"[['P0DOX5', 'P15692'], ['P15692', 'Q8TCD0'], ['Q8TCD0', 'P0DOX5']]"
6BGT,"[['P04626', 'Q7Z3Y4'], ['Q7Z3Y4', 'P0DOX5'], ['P0DOX5', 'P04626']]"
6BIJ,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6BIL,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6BIN,"[['P01903', 'P02458'], ['P02458', 'P01911'], ['P01911', 'P01903']]"
6BIR,"[['P01903', 'P01911'], ['P01911', 'P08670'], ['P08670', 'P01903']]"
6BIV,"[['P01903', 'P01911'], ['P01911', 'P49913'], ['P49913', 'P01903']]"
6BIX,"[['P01903', 'P01911'], ['P01911', 'P49913'], ['P49913', 'P01903']]"
6BIY,"[['P01903', 'P01911'], ['P01911', 'Q96A08'], ['Q96A08', 'P01903']]"
6BIZ,"[['P01903', 'P01911'], ['P01911', 'Q8N257'], ['Q8N257', 'P01903']]"
6BN7,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'O60885'], ['O60885', 'Q16531']]"
6BN8,"[['Q16531', 'Q96SW2-2'], ['Q96SW2-2', 'O60885'], ['O60885', 'Q16531']]"
6BN9,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'O60885'], ['O60885', 'Q16531']]"
6BNB,"[['O60885', 'Q16531'], ['Q16531', 'Q96SW2'], ['Q96SW2', 'O60885']]"
6BOY,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'O60885'], ['O60885', 'Q16531']]"
6BQ1,"[['P42356', 'Q86TV6'], ['Q86TV6', 'Q9BYI3'], ['Q9BYI3', 'P42356']]"
6BQN,"[['P37088', 'P51168'], ['P51168', 'P51170'], ['P51170', 'P37088']]"
6BVA,"[['P63208', 'Q8NHM5'], ['Q8NHM5', 'P0CG47'], ['P0CG47', 'P63208']]"
6BYH,"[['P63208', 'Q9Y2K7'], ['Q9Y2K7', 'P0CG47'], ['P0CG47', 'P63208']]"
6C16,"[['P63208', 'Q9Y2K7'], ['Q9Y2K7', 'P0CG47'], ['P0CG47', 'P63208']]"
6C48,"[['Q5TKA1', 'P10244'], ['P10244', 'Q52LA3'], ['Q52LA3', 'Q5TKA1']]"
6C5X,"[['Q15370', 'Q15369'], ['Q15369', 'Q00560'], ['Q00560', 'Q15370']]"
6C95,"[['Q9BXJ9', 'P41227'], ['P41227', 'Q9NX55'], ['Q9NX55', 'Q9BXJ9']]"
6C9F,"[['Q13131', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'Q13131']]"
6C9G,"[['Q13131', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'Q13131']]"
6C9H,"[['P54619', 'Q13131'], ['Q13131', 'Q9Y478'], ['Q9Y478', 'P54619']]"
6C9J,"[['Q9Y478', 'P54619'], ['P54619', 'Q13131'], ['Q13131', 'Q9Y478']]"
6CET,"[['Q8WTW4', 'Q12980'], ['Q12980', 'O75140'], ['O75140', 'Q8WTW4']]"
6CRK,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
6CYT,"[['P50750', 'O60563'], ['O60563', 'Q9UHB7'], ['Q9UHB7', 'P50750']]"
6D0Y,"[['Q09161', 'P52298'], ['P52298', 'Q86YN6'], ['Q86YN6', 'Q09161']]"
6D6I,"[['P61088', 'Q13404'], ['Q13404', 'Q96H31'], ['Q96H31', 'P61088']]"
6D6T,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6D6U,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6D7G,"[['P61769', ' P04439'], [' P04439', 'Q6PJ56'], ['Q6PJ56', 'P61769']]"
6DCW,"[['P01834', 'P01857'], ['P01857', 'A0A2K5IAM2'], ['A0A2K5IAM2', 'P01834']]"
6DDE,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
6DDF,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
6DF3,"[['Q8N6P7', 'Q13007'], ['Q13007', 'Q6UXL0'], ['Q6UXL0', 'Q8N6P7']]"
6DKJ,"[['P0DOX5', 'V9HW34'], ['V9HW34', 'P48546'], ['P48546', 'P0DOX5']]"
6DNH,"[['Q10570', 'Q9C0J8'], ['Q9C0J8', 'O95639'], ['O95639', 'Q10570']]"
6E3K,"[['P01579', 'P15260'], ['P15260', 'P38484'], ['P38484', 'P01579']]"
6E3L,"[['P01579', 'P15260'], ['P15260', 'P38484'], ['P38484', 'P01579']]"
6EG8,"[['P62873', 'P59768'], ['P59768', 'P63092'], ['P63092', 'P62873']]"
6EI2,"[['P04439', 'P61769'], ['P61769', 'P30279'], ['P30279', 'P04439']]"
6ERF,"[['P12956', 'P13010'], ['P13010', 'Q8IW19'], ['Q8IW19', 'P12956']]"
6ERG,"[['P12956', 'P13010'], ['P13010', 'Q9H9Q4'], ['Q9H9Q4', 'P12956']]"
6ERH,"[['P12956', 'P13010'], ['P13010', 'Q9H9Q4'], ['Q9H9Q4', 'P12956']]"
6ERP,"[['Q00059', 'O00411'], ['O00411', 'Q9H5Q4'], ['Q9H5Q4', 'Q00059']]"
6ERQ,"[['Q00059', 'O00411'], ['O00411', 'Q9H5Q4'], ['Q9H5Q4', 'Q00059']]"
6EWA,"[['P04439', 'P61769'], ['P61769', 'Q8NHL6'], ['Q8NHL6', 'P04439']]"
6F3T,"[['Q15542', 'P49848'], ['P49848', 'Q16594'], ['Q16594', 'Q15542']]"
6FMI,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6FMJ,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6FMK,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6FO1,"[['Q9Y265', 'Q9Y230'], ['Q9Y230', 'Q9H6T3'], ['Q9H6T3', 'Q9Y265']]"
6FUW,"[['Q10570', 'Q9C0J8'], ['Q9C0J8', 'O95639'], ['O95639', 'Q10570']]"
6GAW,"[['1390216722', '1388777935'], ['1388777935', 'P46199'], ['P46199', '1390216722']]"
6GDG,"[['P62873', 'P59768'], ['P59768', 'P63092'], ['P63092', 'P62873']]"
6GFY,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6GFZ,"[['Q15369', 'Q15370'], ['Q15370', 'P40337'], ['P40337', 'Q15369']]"
6GHD,"[['P50402', 'O75531'], ['O75531', 'P02545'], ['P02545', 'P50402']]"
6GL7,"[['Q99748', 'O00451'], ['O00451', 'P07949'], ['P07949', 'Q99748']]"
6GMN,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6GMQ,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6GMX,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
6GU2,"[['P06493', 'P14635'], ['P14635', 'K9J4F7'], ['K9J4F7', 'P06493']]"
6GU3,"[['P14635', 'P06493'], ['P06493', 'K9J4F7'], ['K9J4F7', 'P14635']]"
6GU4,"[['P06493', 'P14635'], ['P14635', 'K9J4F7'], ['K9J4F7', 'P06493']]"
6GWJ,"[['Q14657', 'Q9BXV9'], ['Q9BXV9', 'Q9NPF4'], ['Q9NPF4', 'Q14657']]"
6H0F,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'Q13422'], ['Q13422', 'Q16531']]"
6H0G,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'Q9BU19'], ['Q9BU19', 'Q16531']]"
6HBY,"[['P01903', 'P01911'], ['P01911', 'Q13641'], ['Q13641', 'P01903']]"
6HN5,"[['P01308', 'P06213'], ['P06213', ' P03069'], [' P03069', 'P01308']]"
6HPR,"[['Q13490', 'P0CG47'], ['P0CG47', 'P62837'], ['P62837', 'Q13490']]"
6I4X,"[['Q15370', 'O14508'], ['O14508', 'Q15369'], ['Q15369', 'Q15370']]"
6I53,"[['P28472', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P28472']]"
6I5J,"[['O14508', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'O14508']]"
6I5N,"[['O14508', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'O14508']]"
6I7Q,"[['Q15370', 'Q99814'], ['Q99814', 'P40337'], ['P40337', 'Q15370']]"
6IY6,"[['P14868', 'Q13155'], ['Q13155', 'P07814'], ['P07814', 'P14868']]"
6J4V,"[['P68363', 'Q86V25'], ['Q86V25', 'Q8N300'], ['Q8N300', 'P68363']]"
6J74,"[['Q7Z6K3', 'P53611'], ['P53611', 'O15498'], ['O15498', 'Q7Z6K3']]"
6J7F,"[['Q7Z6K3', 'P53611'], ['P53611', 'O15498'], ['O15498', 'Q7Z6K3']]"
6J7X,"[['Q7Z6K3', 'P53611'], ['P53611', 'O15498'], ['O15498', 'Q7Z6K3']]"
6J8F,"[['Q7L8A9', 'Q8N300'], ['Q8N300', 'Q71U36'], ['Q71U36', 'Q7L8A9']]"
6J8G,"[['O60939', 'Q15858'], ['Q15858', 'Q07699'], ['Q07699', 'O60939']]"
6J8H,"[['O60939', 'Q15858'], ['Q15858', 'Q07699'], ['Q07699', 'O60939']]"
6J8I,"[['O60939', 'Q15858'], ['Q15858', 'Q07699'], ['Q07699', 'O60939']]"
6J8J,"[['O60939', 'Q15858'], ['Q15858', 'Q07699'], ['Q07699', 'O60939']]"
6J8O,"[['Q7L8A9', 'P68363'], ['P68363', 'Q8N300'], ['Q8N300', 'Q7L8A9']]"
6JLQ,"[['P62068', 'Q8TAF3'], ['Q8TAF3', 'Q8TBZ3'], ['Q8TBZ3', 'P62068']]"
6JTN,"[['C1K0Y1', 'P01116'], ['P01116', 'P61769'], ['P61769', 'C1K0Y1']]"
6JTO,"[['P10321', 'P61769'], ['P61769', 'P01116'], ['P01116', 'P10321']]"
6JTP,"[['P01116', 'C1K0Y1'], ['C1K0Y1', 'P61769'], ['P61769', 'P01116']]"
6K42,"[['P59768', 'P08913'], ['P08913', ' P18089'], [' P18089', 'P59768']]"
6KTO,"[['Q9UI95', 'Q6ZNX1'], ['Q6ZNX1', 'Q86V20'], ['Q86V20', 'Q9UI95']]"
6KXS,"[['P01871', 'P01591'], ['P01591', 'P01833'], ['P01833', 'P01871']]"
6KXV,"[['P62805', 'P04908'], ['P04908', 'P06899'], ['P06899', 'P62805']]"
6L54,"[['Q96Q15', 'Q8ND04'], ['Q8ND04', 'Q9H0W8'], ['Q9H0W8', 'Q96Q15']]"
6LPB,"[['P18509', 'P41586'], ['P41586', 'P63092'], ['P63092', 'P18509']]"
6LT0,"[['Q9HAD4', 'Q8TEV9'], ['Q8TEV9', 'Q96LT7'], ['Q96LT7', 'Q9HAD4']]"
6M8S,"[['P62873', 'P59768'], ['P59768', 'Q96CX2'], ['Q96CX2', 'P62873']]"
6M90,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
6M91,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
6M92,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
6M93,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
6M94,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
6MPP,"[['P04439', 'P01111'], ['P01111', 'P61769'], ['P61769', 'P04439']]"
6NAJ,"[['P06756', 'P05106'], ['P05106', 'P02751'], ['P02751', 'P06756']]"
6NBW,"[['P60709', 'Q93015'], ['Q93015', 'P07737'], ['P07737', 'P60709']]"
6NI3,"[['P63092', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63092']]"
6NIX,"[['P01903', 'P01911'], ['P01911', 'P02458'], ['P02458', 'P01903']]"
6NMY,"[['P26951', 'P32927'], ['P32927', 'P08700'], ['P08700', 'P26951']]"
6NTS,"[['P30153', 'Q15172'], ['Q15172', 'P67775'], ['P67775', 'P30153']]"
6NUC,"[['Q08209', 'P63098'], ['P63098', 'P19634'], ['P19634', 'Q08209']]"
6NUF,"[['Q08209', 'P63098'], ['P63098', 'P19634'], ['P19634', 'Q08209']]"
6NUU,"[['Q08209', 'P63098'], ['P63098', 'P19634'], ['P19634', 'Q08209']]"
6O4Y,"[['A0A140T913', 'P61769'], ['P61769', 'P01116'], ['P01116', 'A0A140T913']]"
6O9B,"[['P04439', 'P61769'], ['P61769', 'P35222'], ['P35222', 'P04439']]"
6O9C,"[['P04439', 'P61769'], ['P61769', 'P35222'], ['P35222', 'P04439']]"
6OEL,"[['P24394', 'P31785'], ['P31785', 'P05112'], ['P05112', 'P24394']]"
6OI4,"[['Q16186', 'P0CG48'], ['P0CG48', 'Q99460'], ['Q99460', 'Q16186']]"
6OKP,"[['S6B291', 'Q8N5F4'], ['Q8N5F4', 'P01834'], ['P01834', 'S6B291']]"
6OM2,"[['P06756', 'P26012'], ['P26012', 'P01137'], ['P01137', 'P06756']]"
6OS0,"[['P30556', ' P0ABE7'], [' P0ABE7', 'P01019'], ['P01019', 'P30556']]"
6P3W,"[['P24941', 'P20248'], ['P20248', 'Q13415'], ['Q13415', 'P24941']]"
6P59,"[['Q13951', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'Q13951']]"
6P64,"[['Q53Z42', 'P61769'], ['P61769', 'Q5VTY9'], ['Q5VTY9', 'Q53Z42']]"
6P8E,"[['P24385', 'P46527'], ['P46527', 'P11802'], ['P11802', 'P24385']]"
6P8F,"[['P24385', 'P46527'], ['P46527', 'P11802'], ['P11802', 'P24385']]"
6P8G,"[['P24385', 'P11802'], ['P11802', 'P46527'], ['P46527', 'P24385']]"
6P8H,"[['P24385', 'P11802'], ['P11802', 'P38936'], ['P38936', 'P24385']]"
6PA1,"[['P10321', 'P61769'], ['P61769', 'P43627'], ['P43627', 'P10321']]"
6PAG,"[['P10321', 'P61769'], ['P61769', 'P43628'], ['P43628', 'P10321']]"
6PPL,"[['Q9GZZ1', 'Q9BXJ9'], ['Q9BXJ9', 'P41227'], ['P41227', 'Q9GZZ1']]"
6PTB,"[['P04439', 'P61769'], ['P61769', 'Q68CZ6'], ['Q68CZ6', 'P04439']]"
6PTE,"[['P04439', 'P61769'], ['P61769', 'Q68CZ6'], ['Q68CZ6', 'P04439']]"
6PTS,"[['P02647', 'P01116'], ['P01116', 'P04049'], ['P04049', 'P02647']]"
6PTW,"[['P02647', 'P04049'], ['P04049', 'P01116'], ['P01116', 'P02647']]"
6PWW,"[['Q15291', 'P61964'], ['P61964', 'Q03164'], ['Q03164', 'Q15291']]"
6PX6,"[['Q08AS3', 'A0A0U5IHY9'], ['A0A0U5IHY9', 'K7N5M3'], ['K7N5M3', 'Q08AS3']]"
6PY8,"[['Q7Z6K4', 'Q06330'], ['Q06330', 'P46531'], ['P46531', 'Q7Z6K4']]"
6PYJ,"[['A0A583ZBQ2', 'P61769'], ['P61769', 'P37268'], ['P37268', 'A0A583ZBQ2']]"
6PYV,"[['P01889', 'P61769'], ['P61769', 'P37268'], ['P37268', 'P01889']]"
6PYW,"[['P01889', 'P61769'], ['P61769', 'P37268'], ['P37268', 'P01889']]"
6PZ5,"[['P01889', 'P61769'], ['P61769', 'P37268'], ['P37268', 'P01889']]"
6Q2J,"[['Q99988', 'Q6UXV0'], ['Q6UXV0', 'P07949'], ['P07949', 'Q99988']]"
6Q2N,"[['P39905', 'P56159'], ['P56159', 'P07949'], ['P07949', 'P39905']]"
6Q2O,"[['Q99748', 'O00451'], ['O00451', 'P07949'], ['P07949', 'Q99748']]"
6Q2R,"[['Q99748', 'O00451'], ['O00451', 'P07949'], ['P07949', 'Q99748']]"
6QIO,"[['P02768', 'P55899'], ['P55899', 'P61769'], ['P61769', 'P02768']]"
6QIP,"[['P02768', 'P55899'], ['P55899', 'P61769'], ['P61769', 'P02768']]"
6QML,"[['P15374', 'P0CG47'], ['P0CG47', 'P0CG48'], ['P0CG48', 'P15374']]"
6QMP,"[['P23511', 'P25208'], ['P25208', 'Q13952'], ['Q13952', 'P23511']]"
6QMQ,"[['P23511', 'P25208'], ['P25208', 'Q13952'], ['Q13952', 'P23511']]"
6QMS,"[['P23511', 'P25208'], ['P25208', 'Q13952'], ['Q13952', 'P23511']]"
6QNX,"[['Q8N3U4', 'O60216'], ['O60216', 'P49711'], ['P49711', 'Q8N3U4']]"
6QUS,"[['P68363', 'Q5T5Y3'], ['Q5T5Y3', 'P07437'], ['P07437', 'P68363']]"
6QVJ,"[['Q5T5Y3', 'P68363'], ['P68363', 'P07437'], ['P07437', 'Q5T5Y3']]"
6RP9,"[['P04439', 'P61769'], ['P61769', 'P78358'], ['P78358', 'P04439']]"
6RPA,"[['P04439', 'P61769'], ['P61769', 'P78358'], ['P78358', 'P04439']]"
6RPB,"[['P04439', 'P61769'], ['P61769', 'P78358'], ['P78358', 'P04439']]"
6RPR,"[['P02545', 'O75531'], ['O75531', 'P50402'], ['P50402', 'P02545']]"
6RSY,"[['P04439', 'P61769'], ['P61769', 'P19544'], ['P19544', 'P04439']]"
6RUR,"[['P27918', 'P01024'], ['P01024', 'P00751'], ['P00751', 'P27918']]"
6RUV,"[['P27918', 'P01024'], ['P01024', 'P00751'], ['P00751', 'P27918']]"
6S53,"[['P61088', 'P0CG48'], ['P0CG48', 'P19474'], ['P19474', 'P61088']]"
6SO5,"[['O43681', 'O00258'], ['O00258', 'P49069'], ['P49069', 'O43681']]"
6SQO,"[['Q00987', 'P62837'], ['P62837', 'P62979'], ['P62979', 'Q00987']]"
6SQR,"[['P62837', 'P62979'], ['P62979', 'P0CG48'], ['P0CG48', 'P62837']]"
6SYT,"[['Q96Q15', 'Q8ND04'], ['Q8ND04', 'Q9H0W8'], ['Q9H0W8', 'Q96Q15']]"
6T7F,"[['O75592', 'P61077'], ['P61077', 'P0CG48'], ['P0CG48', 'O75592']]"
6TB2,"[['P69905', 'P68871'], ['P68871', 'P00738'], ['P00738', 'P69905']]"
6TD3,"[['Q16531', 'Q9NYV4'], ['Q9NYV4', 'O75909'], ['O75909', 'Q16531']]"
6TGC,"[['Q92608', 'Q92556'], ['Q92556', 'P63000'], ['P63000', 'Q92608']]"
6TMO,"[['A0A5B8RNS7', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'A0A5B8RNS7']]"
6TRN,"[['Q53Z42', 'P61769'], ['P61769', 'P43358'], ['P43358', 'Q53Z42']]"
6TRO,"[['Q53Z42', 'P61769'], ['P61769', 'P43358'], ['P43358', 'Q53Z42']]"
6UDJ,"[['S6B2B6', 'Q6PIL8'], ['Q6PIL8', 'Q8N355'], ['Q8N355', 'S6B2B6']]"
6UE7,"[['P01876', 'P01833'], ['P01833', 'P01591'], ['P01591', 'P01876']]"
6UE8,"[['P01877', 'P01833'], ['P01833', 'P01591'], ['P01591', 'P01877']]"
6UE9,"[['P01877', 'P01833'], ['P01833', 'P01591'], ['P01591', 'P01877']]"
6UEA,"[['P01877', 'P01833'], ['P01833', 'P01591'], ['P01591', 'P01877']]"
6UJ7,"[['P01889', 'P61769'], ['P61769', 'P48735'], ['P48735', 'P01889']]"
6UJ8,"[['P01889', 'P61769'], ['P61769', 'P48735'], ['P48735', 'P01889']]"
6UJ9,"[['P01889', 'P61769'], ['P61769', 'P48735'], ['P48735', 'P01889']]"
6UJO,"[['U5YJP1', 'P61769'], ['P61769', 'Q5VTY9'], ['Q5VTY9', 'U5YJP1']]"
6UJQ,"[['U5YJP1', 'P61769'], ['P61769', 'Q5VTY9'], ['Q5VTY9', 'U5YJP1']]"
6UK2,"[['U5YJP1', 'P61769'], ['P61769', 'Q5VTY9'], ['Q5VTY9', 'U5YJP1']]"
6UK4,"[['U5YJP1', 'P61769'], ['P61769', 'Q5VTY9'], ['Q5VTY9', 'U5YJP1']]"
6ULI,"[['C1K0Y1', 'P61769'], ['P61769', 'P01111'], ['P01111', 'C1K0Y1']]"
6ULK,"[['C1K0Y1', 'P61769'], ['P61769', 'P01111'], ['P01111', 'C1K0Y1']]"
6ULN,"[['C1K0Y1', 'P61769'], ['P61769', 'P01111'], ['P01111', 'C1K0Y1']]"
6ULR,"[['P01111', 'C1K0Y1'], ['C1K0Y1', 'P61769'], ['P61769', 'P01111']]"
6UML,"[['Q16531', 'Q96SW2'], ['Q96SW2', 'Q9UJQ4'], ['Q9UJQ4', 'Q16531']]"
6UMX,"[['O14793', 'P0DOY2'], ['P0DOY2', 'Q5EFE5'], ['Q5EFE5', 'O14793']]"
6UON,"[['P61769', 'P01111'], ['P01111', 'C1K0Y1'], ['C1K0Y1', 'P61769']]"
6UP7,"[['P30990', 'P49407'], ['P49407', 'P30989'], ['P30989', 'P30990']]"
6USF,"[['P43681', ' P0ABE7'], [' P0ABE7', 'P17787'], ['P17787', 'P43681']]"
6UXE,"[['Q9H1K1', 'Q9Y697'], ['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1']]"
6UYI,"[['P0CG47', 'Q16186'], ['Q16186', 'Q99460'], ['Q99460', 'P0CG47']]"
6UYJ,"[['P0CG47', 'Q16186'], ['Q16186', 'Q99460'], ['Q99460', 'P0CG47']]"
6UZ1,"[['A0A140T913', 'P61769'], ['P61769', 'P14079'], ['P14079', 'A0A140T913']]"
6V0N,"[['Q9BQA1', 'O14744'], ['O14744', 'Q9BRS2'], ['Q9BRS2', 'Q9BQA1']]"
6V0O,"[['P54105', 'O14744'], ['O14744', 'Q9BQA1'], ['Q9BQA1', 'P54105']]"
6V0Y,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V13,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V15,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V18,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V19,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V1A,"[['P01903', 'P01911'], ['P01911', 'P02675'], ['P02675', 'P01903']]"
6V3J,"[['I3ZN84', 'P61769'], ['P61769', 'P43629'], ['P43629', 'I3ZN84']]"
6V4U,"[['Q9HAD4', 'Q96LT7'], ['Q96LT7', 'Q8TEV9'], ['Q8TEV9', 'Q9HAD4']]"
6V65,"[['Q7Z699', 'P21359'], ['P21359', 'P01116'], ['P01116', 'Q7Z699']]"
6V6F,"[['P01116', 'Q7Z699'], ['Q7Z699', 'P21359'], ['P21359', 'P01116']]"
6VAE,"[['Q9NVI1', 'Q9BXW9'], ['Q9BXW9', 'P0CG48'], ['P0CG48', 'Q9NVI1']]"
6VAF,"[['Q9NVI1', 'Q9BXW9'], ['Q9BXW9', 'P0CG48'], ['P0CG48', 'Q9NVI1']]"
6VCD,"[['P48200', 'Q9UKA1'], ['Q9UKA1', 'P63208'], ['P63208', 'P48200']]"
6VGD,"[['Q01543', 'Q13950'], ['Q13950', 'Q13951'], ['Q13951', 'Q01543']]"
6VGE,"[['P11308', 'Q13950'], ['Q13950', 'Q13951'], ['Q13951', 'P11308']]"
6VGG,"[['P11308', 'Q13950'], ['Q13950', 'Q13951'], ['Q13951', 'P11308']]"
6VM7,"[['A0A140T913', 'P61769'], ['P61769', 'P40967'], ['P40967', 'A0A140T913']]"
6VM8,"[['A0A140T913', 'P61769'], ['P61769', 'P40967'], ['P40967', 'A0A140T913']]"
6VM9,"[['A0A140T913', 'P61769'], ['P61769', 'P40967'], ['P40967', 'A0A140T913']]"
6VMA,"[['A0A140T913', 'P61769'], ['P61769', 'P40967'], ['P40967', 'A0A140T913']]"
6VMC,"[['A0A140T913', 'P61769'], ['P61769', 'P40967'], ['P40967', 'A0A140T913']]"
6VQO,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6VR1,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6VR5,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6VRM,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6VRN,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6W1D,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
6W3J,"[['Q5VWP2', 'O00444'], ['O00444', 'Q8TEP8'], ['Q8TEP8', 'Q5VWP2']]"
6W51,"[['A0A140T913', 'P61769'], ['P61769', 'P04637'], ['P04637', 'A0A140T913']]"
6W66,"[['P63208', 'Q9UF56'], ['Q9UF56', 'Q14145'], ['Q14145', 'P63208']]"
6W6W,"[['Q2NKJ3', 'Q9H668'], ['Q9H668', 'Q86WV5'], ['Q86WV5', 'Q2NKJ3']]"
6W9D,"[['P62837', 'Q9NVW2'], ['Q9NVW2', 'P0CG48'], ['P0CG48', 'P62837']]"
6WI2,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
6WIH,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
6WNA,"[['P55899', 'P61769'], ['P61769', 'P01861'], ['P01861', 'P55899']]"
6WNX,"[['Q9UKB1', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9UKB1']]"
6WOL,"[['P01861', 'P55899'], ['P55899', 'P61769'], ['P61769', 'P01861']]"
6WS0,"[['Q9UBZ9', 'Q9UI95'], ['Q9UI95', 'O60673'], ['O60673', 'Q9UBZ9']]"
6WS5,"[['Q9UBZ9', 'Q9UI95'], ['Q9UI95', 'O60673'], ['O60673', 'Q9UBZ9']]"
6WTH,"[['P37088', 'P51168'], ['P51168', 'P51170'], ['P51170', 'P37088']]"
6X0U,"[['Q96CW5', 'Q96RT7'], ['Q96RT7', 'Q08AG7'], ['Q08AG7', 'Q96CW5']]"
6X0V,"[['Q6P582', 'Q9BSJ2'], ['Q9BSJ2', 'Q96SN8'], ['Q96SN8', 'Q6P582']]"
6X3S,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6X3T,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6X3U,"[['P47870', 'P18507'], ['P18507', 'P14867'], ['P14867', 'P47870']]"
6X3V,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6X3W,"[['P14867', 'P18507'], ['P18507', 'P47870'], ['P47870', 'P14867']]"
6X3X,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6X3Z,"[['P47870', 'P18507'], ['P18507', 'P14867'], ['P14867', 'P47870']]"
6X40,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
6X93,"[['P22301', 'Q13651'], ['Q13651', 'Q08334'], ['Q08334', 'P22301']]"
